,text,prob
0,"""How Does a Retailer's Service Plan Affect a Manufacturer's Warranty? (""",0.9596585083803717
1,"""Increased return covariation suggests that this information impacts the pricing of debt and equity in the same direction.""",0.9147024551444488
2,"""Increases in gasoline prices (by imposition of taxes, for instance) are much more effective in reducing carbon emissions, whereas battery-price-reducing policy interventions are more effective for reducing oil dependence.""",0.8787920780303533
3,"""Increased organizational penalties may prompt the firm to choose a narrower scope and deter the approval of profitable initiatives.""",0.8629671320565478
4,"""If the division's message changes the coordinating decision, then the manager is evaluated on the basis of his division's realized profits less the reported impact of the change in coordinating decisions (resulting from his message) on the profits of the other divisions.""",0.8495828764784104
5,"""This illustrative analysis indicates that both the expected rate of opportunistic (joint) replacement of the rocket engines and re-entry vehicle and the expected rate of replacement of the rocket engines due to mandatory replacement are highly sensitive to changes in the rocket engine failure rate.""",0.8017942056636922
6,"""The change in advertising spending is related to changes in market share, changes in product plans and changes in the number of competitors modified by the number of customers, their concentration and the size of the advertising budget.""",0.7918843092673198
7,"""Increased knowledge in any of these areas would be likely to have a valuable long-run impact on management practice.""",0.775564576157605
8,"""Empirical studies of call centers indicate that the service-time and abandon-time distributions often are not nearly exponential, so that it is important to go beyond the Markovian M/M/s/r+M special case, but the general service-time and abandon-time distributions make the realistic model very difficult to analyze directly.""",0.7749158824164933
9,"""Firms that were early movers into management advisory services (MAS) and those that emphasized growth in MAS over growth in the traditional audit and tax services enjoyed significantly higher productivity growth than their peers.""",0.7194391573042279
10,"""We find that financial advisors who start their career in recessions are less likely to commit professional misconduct throughout their career, even compared with their colleagues working in the same firm, at the same location, and at the same point in time.""",0.7063608602345328
11,"""Increased use of terminals and on-line computing was anticipated.""",0.7028554458555314
12,"""We find that the competitiveness of the industry in which the firm operates, the size of the firm, and the firm's degree of diversification are statistically significant predictors for the change in the market value of firms that announce delays in the introduction of new products.""",0.6842309144504937
13,"""Changes in the size of the office that improve productivity may have lower equity; conversely, changes in the size of the office that improve equity may have lower productivity.""",0.6633092980106141
14,"""Although offshore outsourcing has become an important strategy to lower production costs among Western firms, it gives rise to the phenomenon of value chain climbing—suppliers in emerging markets can develop capabilities by supplying, with aspirations to compete with the buyers in the product market.""",0.6629573474443684
15,"""This positive relation is not subsumed by the arrival of investment-related news or other corporate disclosures or by subsequent earnings information and is concentrated among firms with high financial constraints and firms with lower levels of investor recognition.""",0.6588416493316674
16,"""We investigate how risk-management strategies of the manufacturer change and examine whether risk-management tools are more or less valuable in the presence of such asymmetric information.""",0.6546530824800374
17,"""We demonstrate that the proposed model can predict not only which users are likely to be job seeking at any point in time but also what activities on the platform are associated with job search and how long the users have been job seeking.""",0.6428474707123257
18,"""We also find that customized bundling outperforms both pure bundling and individual sale in the presence of incomplete information, and that customized bundling still outperforms other simpler pricing schemes even when exact consumer valuations are not known ex ante.""",0.5843152375142501
19,"""To date, optimization models of endogenous technological change commonly deal with uncertainty in technological learning with risk-factor methods, i.e., by adding expected risk costs resulting from overestimating technological learning rates into an objective function with a subjective risk factor.""",0.5800975546815872
20,"""We also show that competition drives the provision of services with a low level of consumer information disclosure (high level of privacy), but higher competition intensity in the marketplace need not improve privacy when consumers exhibit low willingness to pay.""",0.5781887586381066
21,"""We also show that this effect is concentrated in banks that have not early adopted the CECL model and banks with timelier pre-PPP loan loss provisions, suggesting that timelier loan loss recognition constrains risk-taking incentives.""",0.5738553181583872
22,"""We also investigate how quality-improvement decisions interact with operational decisions such as the buyer’s order quantity and the supplier’s production lot size.""",0.5706329189526451
23,"""We show that the focal firms’ risk levels are significantly related to the proportion of shared tier-2 suppliers in their supply network, and the effect becomes monotonically stronger as their tier-2 suppliers become more highly shared.""",0.5704869123268336
24,"""Contrary to our expectations, the findings of the study indicate that at an aggregate level, the market penalties for medical device recalls are not significant, i.e., at the aggregate level, the costs of poor quality are not severe.""",0.5688402881735137
25,"""This article analyzes how revenue and cash-flow volatility are influenced by own and competitive marketing spending volatility, by the level of marketing spending, by the responsiveness to own marketing spending, and by competitive response.""",0.5683183298606022
26,"""It is suggested that the effectiveness of incremental learning can often be improved by slowing the rate of learning and adaptation, by reducing the simultaneity of behavioral changes, and by scaling the size of the changes.""",0.5626091520626096
27,"""With more divergent changes, the advantages of strong ties to resistors accruing to the change agent are weaker, and may turn into liabilities that reduce the likelihood of change adoption.""",0.5622688340407929
28,"""By combining different theoretical and numerical analyses, we find that the herding behavior is prevalent in many other congested open-routing service networks, including those with arrivals over time, those with stochastic service times, and those with more than two stations.""",0.5619194792059828
29,"""The prevailing “consumption-based capital asset pricing model” (CCAPM) suggests that the risk premium that investors require to invest in a financial asset is proportional to the covariance of its return with the growth rate in aggregate per capita consumption, the measure of the security's systematic risk.""",0.5473575691044156
30,"""The policies investigated included restricting growth of manufacturing and/or government activities in the capital, moving government services from the capital, lowering the national birth rate, and making cities other than the capital more attractive places in which to live.""",0.5461748541547997
31,"""We find that code reuse is extensive across the sample and that open source software developers, much like developers in firms, apply tools that lower their search costs for knowledge and code, assess the quality of software components, and have incentives to reuse code.""",0.5286373777132907
32,"""These findings have implications on how to combat Medicare reimbursements paid by taxpayer dollars with the Recovery Audit Program and how this information technology (IT) audit can prevent the misuse of information systems to create artificial business value of IT by hospitals.""",0.5283334131388456
33,"""Due in part to the advent of new cable TV channels, the competition for viewer ratings has intensified substantially in recent years, and the revenues of the major networks have not kept pace with the costs of the programs.""",0.5272060764074579
34,"""In most of the paper it is assumed that these probability distributions entertained by the different players are mutually “consistent”, in the sense that they can be regarded as conditional probability distributions derived from a certain “basic probability distribution” over the parameters unknown to the various players.""",0.5261206785528756
35,"""The correspondence between asset specificity and repetition is strong in physical capital-intensive firms and not significant in human capital-intensive firms, while the correspondence between fewer suppliers and more repeated relationships is strong in human capital-intensive firms but not significant in physical capital-intensive firms.""",0.5217703205531377
36,"""In contrast to the implicit assumption made in the literature that announcements do not directly impact customers’ waiting costs, our key insights show that delay announcements not only impact customers’ beliefs about the system but also directly impact customers’ waiting costs.""",0.5200826348496226
37,"""The results support an implicit risk hypothesis according to which delayed consequences are associated with an implicit risk value, and an added compensation hypothesis which asserts that individuals require compensation for a change in their financial position.""",0.5160059519895738
38,"""However, competitors who were themselves celebrity endorsement intensive fared relatively worse than those who were not endorsement intensive, and that difference also correlates day by day with news/search intensity regarding the scandal.""",0.5145606804597359
39,"""This impact may be decomposed in two different ways: (a) a direct effect (keeping the competitors’ actions fixed) plus a strategic effect (i.e., through the competitors’ actions); or, alternatively, (b) a competitive advantage effect (change in firm i only) plus an imitation effect (change in all other firms).""",0.5137648224802773
